,lead_paragraph,headline,uplifting
89,"Imagine the cosmos. What do you picture? A great void extending infinitely in all directions, sparsely dotted by stars, planets and other heavenly bodies, booby-trapped by black holes and traversed by light rays and magnetic fields? If you are a modern secularist that might be what you envision. But what if you were a 16th-century Hindu? You might imagine a universe populated by gods, demons, monsters and other supernatural beings. You would behold great castles, paradisical gardens and wilderness landscapes where stories of creation, love, sex, birth, initiation, war, death and resurrection are set.",The Whole Earth Catalog: The Prequel,0
90,"If greens, raisins, nuts and grains of rice all symbolize prosperity, then you'll do well to make this recipe for your New Year's Eve party. Collard greens are great stuffing leaves; theyare large and easy to work with, and they can stand up to long simmering. The filling is a typical Greek dolmades filling. 1 large bunch collard greens (about 1 1/2 pounds), stemmed",Stuffed Collard Greens,0
91,"A public service advertisement encouraging college students to get swine flu shots to prevent a third wave of the epidemic was released Thursday by the Department of Health and Human Services. The advertisement is to be played at four college football bowl games on New Year's Day, and the Education Department has asked university presidents across the country to speak at winter athletic events, urging students to get vaccinated.",New Campaign Urges Flu Shots at Colleges,0
92,"A pioneering editor who resigned amid controversy last fall from Caijing, a Chinese business magazine that specialized in investigating government corruption and corporate fraud, has been named editor in chief of a new publication. The new magazine, Century Weekly, said on its Web site Wednesday that it had appointed the editor, Hu Shuli, and several other former Caijing editors.",Pioneer Editor to Lead New Magazine in China,0
93,"The Cubs, who had been searching for a center fielder, agreed Thursday to a three-year, $15 million contract with Marlon Byrd. The Cubs are hoping to have more success with this former Texas Rangers outfielder than the one they signed last off-season, Milton Bradley.","With Bradley Out, Cubs Bring In Byrd",0
94,"When the clock struck midnight on New Year's Eve, China and 10 Southeast Asian nations ushered in the world's third-largest free-trade area. While many industries are eager for tariffs to fall on things as diverse as textiles, rubber, vegetable oils and steel, a few are nervously waiting to see whether the agreement will mean boom or bust for their businesses. Trade between China and the 10 countries that make up the Association of Southeast Asian Nations , also known as Asean, has soared in recent years, to $192.5 billion in 2008, from $59.6 billion in 2003. The new free-trade zone, which will remove tariffs on 90 percent of traded goods, is expected to increase that commerce still more.","Asia Free-Trade Zone Raises Hopes, and Some Fears About China",0
95,"As the nation's top high school quarterback two years ago, Terrelle Pryor knew that he wanted to play for Ohio State. But that did not stop Oregon from trying to change his mind. Coach Chip Kelly, then an offensive coordinator for the Ducks, started visiting Pryor twice a week at his home in western Pennsylvania, promoting the virtues of playing in Oregon's spread-option offense and the benefits of the program's cozy relationship with Nike.",Ohio State's Pryor and Oregon's Offense: A Perfect Match That Wasn't,0
97,"In a significant blow to the Justice Department, a federal judge on Thursday threw out the indictment of five former Blackwater security guards over a shooting in Baghdad in 2007 that left 17 Iraqis dead and about 20 wounded. The judge cited misuse of statements made by the guards in his decision, which brought to a sudden halt one of the highest-profile prosecutions to arise from the Iraq war. The shooting at Nisour Square frayed relations between the Iraqi government and the Bush administration and put a spotlight on the United States' growing reliance on private security contractors in war zones.",CHARGES VOIDED FOR CONTRACTORS IN IRAQ KILLINGS,0
98,"To the Editor: You make a good case for reforming health care now under the leadership of President Obama and the Democratic majorities in the House and Senate (''The Case for Reform,'' editorial, Dec. 30).",The Time Is Now to Enact Health Care Reform,0
99,"A judge ruled Thursday that Christians had the constitutional right to use the word Allah to refer to God. The judge, Lau Bee Lan, found that a government ban was illegal. Government lawyers said they might appeal. In Malaysia, a Muslim-majority country, minority groups had viewed the ban as a symbol of institutionalized religious discrimination. Judge Lau was ruling on a lawsuit filed two years ago by The Herald, the Malaysian Roman Catholic Church's main publication, after the government blocked non-Muslims from translating ''God'' as ''Allah'' in their literature. The authorities have said that Allah is an Islamic word that should be used exclusively by Muslims. Officials are believed to be afraid that Muslims reading Christian literature might be tempted to convert to Christianity. Recently, the government confiscated 10,000 copies of Malaysian-language Bibles because they contained the word Allah.",Malaysia: Judge Allows Christian Use of Word Allah,0
100,"Among the assorted black-and-white photographs in the entry stairwell of the Jazz Standard, one has stood out since the club opened in its current form eight years ago. It's a snapshot of Louis Armstrong in his dressing room at the Paramount Theater, in May 1937. He's in a thin black skullcap, sleeves rolled back, gnawing on a rib bone. He's holding what appears to be a goblet of beer. The look on his face is wary, distancing, maybe a little admonitory. He looks like a guy who'd rather be enjoying his meal in peace. The image bears some relevance to ''Struttin' With Some Barbecue,'' a New Year's booking at the Jazz Standard. Named after one of the immortal sides made by Armstrong's Hot Five -- ''the Old Testament of classic jazz,'' as Terry Teachout rightly observes in ''Pops: A Life of Louis Armstrong,'' his scrupulous new biography -- the engagement features two proud sons of New Orleans, the pianist Henry Butler and the alto saxophonist Donald Harrison. Joining them is a wrecking crew of musicians with current or former ties to the Jazz at Lincoln Center Orchestra: the trumpeter Sean Jones, the trombonist Wycliffe Gordon, the bassist Ben Wolfe and the drummer Ali Jackson.",A Band Has Its Contemporary Way With Old-Time New Orleans Hits,0
101,"MORE ART SHOWS In the opening weeks of the year, otherwise known as January, my needs are basic. It's dark and usually cold. I want light and heat -- if possible combined in strong, unremitting color and conveyed by refreshingly unfamiliar works of art. At least two shows on the immediate horizon promise to deliver.",Downtime At New Year? It's Filled,0
102,"The former heavyweight champion Evander Holyfield, 47, will challenge Francois Botha, 41, for the lightly regarded World Boxing Federation title in Uganda on Jan. 16. Holyfield (42-10-2) has not fought since losing a decision to Nikolai Valuev a year ago, and before that he lost to Sultan Ibragimov. Holyfield said he believed a victory could give him a shot at a more prestigious title that would allow him to achieve his goal of retiring as a heavyweight champion.",Holyfield to Fight in Africa,0
