,lead_paragraph,headline,uplifting
99,"A judge ruled Thursday that Christians had the constitutional right to use the word Allah to refer to God. The judge, Lau Bee Lan, found that a government ban was illegal. Government lawyers said they might appeal. In Malaysia, a Muslim-majority country, minority groups had viewed the ban as a symbol of institutionalized religious discrimination. Judge Lau was ruling on a lawsuit filed two years ago by The Herald, the Malaysian Roman Catholic Church's main publication, after the government blocked non-Muslims from translating ''God'' as ''Allah'' in their literature. The authorities have said that Allah is an Islamic word that should be used exclusively by Muslims. Officials are believed to be afraid that Muslims reading Christian literature might be tempted to convert to Christianity. Recently, the government confiscated 10,000 copies of Malaysian-language Bibles because they contained the word Allah.",Malaysia: Judge Allows Christian Use of Word Allah,0
100,"Among the assorted black-and-white photographs in the entry stairwell of the Jazz Standard, one has stood out since the club opened in its current form eight years ago. It's a snapshot of Louis Armstrong in his dressing room at the Paramount Theater, in May 1937. He's in a thin black skullcap, sleeves rolled back, gnawing on a rib bone. He's holding what appears to be a goblet of beer. The look on his face is wary, distancing, maybe a little admonitory. He looks like a guy who'd rather be enjoying his meal in peace. The image bears some relevance to ''Struttin' With Some Barbecue,'' a New Year's booking at the Jazz Standard. Named after one of the immortal sides made by Armstrong's Hot Five -- ''the Old Testament of classic jazz,'' as Terry Teachout rightly observes in ''Pops: A Life of Louis Armstrong,'' his scrupulous new biography -- the engagement features two proud sons of New Orleans, the pianist Henry Butler and the alto saxophonist Donald Harrison. Joining them is a wrecking crew of musicians with current or former ties to the Jazz at Lincoln Center Orchestra: the trumpeter Sean Jones, the trombonist Wycliffe Gordon, the bassist Ben Wolfe and the drummer Ali Jackson.",A Band Has Its Contemporary Way With Old-Time New Orleans Hits,1
102,"The former heavyweight champion Evander Holyfield, 47, will challenge Francois Botha, 41, for the lightly regarded World Boxing Federation title in Uganda on Jan. 16. Holyfield (42-10-2) has not fought since losing a decision to Nikolai Valuev a year ago, and before that he lost to Sultan Ibragimov. Holyfield said he believed a victory could give him a shot at a more prestigious title that would allow him to achieve his goal of retiring as a heavyweight champion.",Holyfield to Fight in Africa,0
105,"Speculation about Coach Vinny Del Negro's future with the Bulls (13-17) has been rampant since the team blew a 35-point lead to Sacramento at home last week. One possible successor is Lawrence Frank, released last month by New Jersey after an 0-15 start, though Bulls officials could hold the firing against him. But if the Bulls want to replace Del Negro, they will be dealing with a pretty shallow talent pool if they rule out every candidate with a firing on his résumé. Del Negro is one of eight first-time head coaches now running an N.B.A. team -- 18 teams are led by coaches who have been fired or forced to resign at least once.",The Pulse: The Coaching Market for a Bulls Vacancy,0
106,"George Orwell has long been admired by readers the world over, and now, after many years of neglect, his hometown plans to recognize him too. The colonial home where Orwell, the author of ''Animal Farm'' and ''1984,'' was born in Motihari, a small town in the eastern Indian state of Bihar near the border with Nepal, will be restored. After several previous attempts by an Indian heritage foundation and Orwell supporters to preserve the house failed, the provincial government has now pledged to protect and restore it.",Orwell's Birthplace Will Be Restored,1
107,A behind-the-scenes look at the TKTS booth in Times Square.,Broadway Give and Take ,0
108,The mountainous city has reinvented its downtown.,"A Weekend in Tucson, Ariz.",1
109,"The best seats in the house are in the left-field upper deck, where hundreds of the more than 38,000 fans at Fenway Park on New Year's Day will look down the length of the $1.5 million rink set up between first and third base at major league baseball's oldest stadium. Those lucky fans, whether they paid the face value price of about $275 for an N.H.L. Winter Classic ticket or bought them for $900 from scalpers on the Internet on Thursday morning, will see the Boston Bruins and the Philadelphia Flyers skating directly below against the backdrop of Fenway's stands, unfurling from home plate on the right all the way to the outfield bleachers, well off to the left.",Winter Classic Fervor Blankets Boston,1
110,"With helicopters swooping low and slow, wranglers this week began rounding up and corralling wild horses on a vast Nevada range, feeding an intense debate over whether removing the animals helps or hurts the preservation of an enduring symbol of the West. In one of the largest such roundups conducted in Nevada, federal officials said they were planning to remove about 2,500 mustangs from an area nearly three times the size of New York City, in the Calico Mountains 100 miles north of Reno.",Debate Grows Over Roundup Of Wild Horses In Nevada,0
111,"Jordan Eberle, Nazem Kadri and Brandon Kozun scored in a shootout, and Jake Allen made the stop he needed to give Canada a 5-4 win over the United States in the world junior hockey championship in Saskatoon, Saskatchewan. After the first five shooters scored, Allen stopped Jordan Schroeder's attempt, then was mobbed by his teammates. The United States had a 4-2 lead in the third period, but Eberle scored his second goal of the game midway through the period. Defenseman Alex Pietrangelo tied the score with a short-handed goal with 4 minutes 15 seconds left.",Canada Beats U.S. in Juniors,0
113,"<!-- PATRICIA A MIRAGLIA -->MIRAGLIA--Patricia A., formerly of Nanuet, NY, died on December 28, 2009. Survived by her son Steve, daughter Lisa and grandchildren John Patrick, Jennifer and Casey. Mass of Christian Burial on Monday, 10am in St. Paul's Church, Conger, NY. Visiting Sunday from 2-4 and 7-9pm at Higgins Funeral Home in New City, NY.<br><br>
 ","Paid Notice: Deaths  MIRAGLIA, PATRICIA A.",0
114,"From the Florida Everglades to the bluffs overlooking the Deschutes River in Oregon, conservationists are snapping up prime property for preservation, often at a fraction of what the asking price was at the real estate market's height. On Wednesday, the threatened bog turtle got a reprieve when conservationists scooped up 166 acres of marshland in Frankford Township in northern New Jersey, where developers had planned to build luxury homes. Hours later, city officials and environmentalists in Boise, Idaho, were rejoicing as they closed a deal to protect 1,300 acres of wooded foothills beloved by local hikers.",Lower Prices Aid In Conservation,1
115,"At Om Shan Tea, the air is filled with the clatter of small earthenware teapots, the sound of ethereal gongs and flutes and quiet animated conversation. Tea drinkers cluster on reed stools around low tables surrounded by antiques from tea-drinking lands. Oshan Anand, the owner of this year-old teahouse in the Mission district of San Francisco, sits at an antique tea table of dark wood and stone and pours tiny cups of pu-erh, the aged Chinese tea that, like wine, is often known by region and vintage.",Teahouses' Unique Blends Are Not Just in the Cup,1
